"num.claims" "av.claimsize"
"4076" 3 1.32405
"4079" 1 0.85435
"4082" 1 3.34064
"4091" 1 0.04402
"4097" 2 1.33847
"4101" 1 0.55838
"4111" 1 0.88609
"4112" 2 0.35555
"4116" 2 1.316915
"4118" 1 0.82824
"4122" 1 0.83216
"4123" 2 2.949325
"4127" 1 0.57856
"4138" 2 4.923975
"4139" 1 0.67121
"4145" 1 5.05
"4156" 1 0.55136
"4159" 1 0.19755
"4164" 2 0.314
"4168" 1 8.05
"4172" 2 2.636445
"4175" 1 0.88
"4178" 1 2.24749
"4179" 1 0.62868
"4181" 2 0.69688
"4183" 1 1.00643
"4200" 1 0.47792
"4224" 1 5.82369
"4246" 1 6.09445
"4254" 1 7.25686
"4262" 1 5.57246
"4264" 1 0.66551
"4274" 1 6.88342
"4277" 1 0.70602
"4291" 1 0.84708
"4301" 1 0.369
"4302" 1 1.64521
"4313" 1 0.46001
"4323" 1 0.42629
"4333" 1 1.04693
"4341" 1 0.94498
"4350" 2 0.42256
"4353" 2 4.15
"4361" 2 1.593045
"4363" 1 1.77455
"4364" 1 2.1554
"4370" 1 3.119
"4375" 1 4.46592
"4377" 1 0.79849
"4379" 1 3.59229
